CASENO,DRV_SEX,DRV_AGE,drassess,spdlimit,surf_typ,contrib1,contrib2,intox,stolen,vehcond1,vehcond2,vehcond3,com_body,cdplaccd,vehno
201400191,1.0,30.0,9.0,60.0,1.0,2,0,9.0,,12,0,0,,,1
201400191,,,,,,0,0,,,0,0,0,,,2
201400192,2.0,82.0,,60.0,1.0,17,0,4.0,,12,0,0,,,1
201400192,,21.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400193,2.0,60.0,,35.0,2.0,23,0,4.0,,12,0,0,,,1
201400193,2.0,35.0,,35.0,2.0,18,0,4.0,,12,0,0,,,2
201400194,1.0,26.0,,35.0,2.0,18,0,4.0,,12,0,0,,,1
201400194,,,,35.0,2.0,17,0,9.0,,12,0,0,,,2
201400196,1.0,34.0,,,2.0,23,0,4.0,,12,0,0,,,1
201400196,2.0,45.0,,,2.0,18,0,4.0,,12,0,0,,,2
201400197,1.0,23.0,,,1.0,23,0,4.0,,12,0,0,,,1
201400197,1.0,29.0,,,2.0,18,0,4.0,,12,0,0,,,2
201400198,1.0,35.0,,60.0,1.0,7,0,4.0,,12,0,0,,,1
201400198,2.0,32.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400198,2.0,38.0,,,1.0,18,0,4.0,,12,0,0,,,3
201400199,1.0,81.0,,40.0,2.0,23,0,4.0,,12,0,0,,,1
201400199,2.0,50.0,,40.0,2.0,18,0,4.0,,12,0,0,,,2
201400200,,,,45.0,2.0,17,0,9.0,,12,0,0,,,1
201400200,1.0,35.0,,45.0,2.0,18,0,4.0,,12,0,0,,,2
201400201,2.0,21.0,,55.0,2.0,4,0,4.0,,12,0,0,,,1
201400202,1.0,33.0,,55.0,2.0,4,0,4.0,,12,0,0,,,1
201400203,2.0,34.0,,45.0,2.0,32,11,4.0,,12,0,0,,,1
201400203,2.0,37.0,,45.0,2.0,18,0,4.0,,12,0,0,,,2
201400204,2.0,55.0,,,2.0,11,0,4.0,,12,0,0,,,1
